time,Area
2013-04-02 14:31:10.563911,
2013-04-12 14:35:27.984873,
2013-06-15 14:35:38.704770,
2013-07-01 14:35:38.763337,
2013-07-17 14:35:38.845716,
2013-08-02 14:35:40.958032,
2013-08-18 14:35:41.822075,
2013-09-19 14:35:37.009529,
2013-10-05 14:35:33.760333,
2013-10-21 14:35:28.838937,
2013-11-22 14:35:15.500286,
2013-12-24 14:35:07.544969,
2014-01-09 14:34:56.826823,
2014-01-25 14:34:47.740112,
2014-02-10 14:34:34.807405,67.7358
2014-02-26 14:34:22.077536,66.70152
2014-03-14 14:34:11.369197,67.04196
2014-04-15 14:33:38.089516,65.90142
2014-06-18 14:33:23.402599,66.02466000000001
2014-07-20 14:33:33.112442,67.22322000000001
2014-08-05 14:33:41.286636,67.82202000000001
2014-08-21 14:33:45.229265,67.85508
2014-10-08 14:33:52.430046,70.35042000000001
2014-10-24 14:33:53.569876,69.37248000000001
2014-11-09 14:33:54.643501,69.54306
2014-12-27 14:33:45.019479,68.22414
2015-01-12 14:33:43.163960,67.4985
2015-01-28 14:33:37.823472,67.2561
2015-02-13 14:33:28.956441,67.02696
2015-03-01 14:33:26.546670,66.95382000000001
2015-03-17 14:33:15.890593,66.57264
2015-04-02 14:33:03.379777,67.26258
2015-04-18 14:33:03.219809,66.6252
2015-05-04 14:32:50.416193,64.2318
2015-05-20 14:32:43.352749,62.252880000000005
2015-07-23 14:33:16.203063,62.85636
2015-09-25 14:33:40.397629,63.275760000000005
2015-10-11 14:33:41.308756,63.124320000000004
2015-11-28 14:33:49.719321,63.42114
2015-12-30 14:33:47.417216,63.92154
2016-01-15 14:33:45.552378,64.85934
2016-01-31 14:33:43.841134,66.1311
2016-02-16 14:33:35.508916,67.11324
2016-03-03 14:33:33.902111,67.73268
2016-03-19 14:33:28.070465,68.13828
2016-04-04 14:33:18.974466,67.35755999999999
2016-05-06 14:33:16.422138,65.85126
2016-05-22 14:33:17.154981,65.69754
2016-06-07 14:33:21.650925,69.12726
2016-08-10 14:33:42.389044,70.88550000000002
2016-08-26 14:33:49.689915,71.28786000000001
2016-09-11 14:33:54.043598,71.27244000000002
2016-09-27 14:33:54.381153,71.27580000000003
2016-10-13 14:33:59.874449,69.91896000000001
2016-10-29 14:34:01.615202,70.75992000000001
2016-12-16 14:33:56.314504,71.32842000000001
2017-01-01 14:33:53.126388,71.31672000000002
2017-01-17 14:33:49.318152,70.92852
2017-02-02 14:33:42.288205,71.00088000000001
2017-02-18 14:33:35.839964,70.71318000000001
2017-03-06 14:33:29.067207,72.23766
2017-03-22 14:33:18.796654,72.29754
2017-06-10 14:33:21.114219,75.68502
2017-11-17 14:33:54.599921,73.38084
2017-12-03 14:33:49.371017,72.20208
2017-12-19 14:33:52.213420,70.02222
2018-01-04 14:33:48.433629,67.97256
2018-01-20 14:33:40.728781,65.18388
2018-02-05 14:33:31.974113,64.52328
2018-02-21 14:33:26.373050,62.427119999999995
2018-03-09 14:33:17.950011,60.84294
2018-03-25 14:33:10.404580,59.95008
2018-04-26 14:32:53.011711,59.48388
2018-05-12 14:32:43.256322,58.92222
2018-06-13 14:32:32.925579,57.976440000000004
2018-06-29 14:32:43.094972,56.51718
2018-07-31 14:32:58.078362,57.90966
2018-08-16 14:33:07.152650,56.73516
2018-09-01 14:33:13.970472,54.635220000000004
2018-10-03 14:33:26.032218,55.66566
2018-10-19 14:33:32.381991,57.128820000000005
2018-11-04 14:33:35.983812,58.29324
2018-11-20 14:33:36.666904,59.99958
2018-12-06 14:33:34.401580,58.874159999999996
2018-12-22 14:33:33.171631,59.8749
2019-01-07 14:33:32.203552,60.69989999999999
2019-01-23 14:33:28.500031,60.619679999999995
2019-02-08 14:33:26.051896,60.54305999999999
2019-02-24 14:33:22.851910,60.58511999999999
2019-03-12 14:33:17.140262,61.44371999999999
2019-03-28 14:33:13.904799,62.28383999999999
2019-05-15 14:33:15.153896,61.90098
2019-08-03 14:33:44.706086,61.56575999999999
2019-09-20 14:33:58.942282,63.40566
2019-10-06 14:34:02.901697,63.2268
2019-10-22 14:34:04.358526,63.470339999999986
2019-11-07 14:34:03.024878,62.31209999999999
2019-11-23 14:33:59.604252,61.20791999999999
2019-12-09 14:33:59.119982,62.77913999999999
2019-12-25 14:33:55.854787,61.21145999999999
2020-01-10 14:33:52.054510,60.22667999999999
2020-01-26 14:33:47.801582,59.734799999999986
2020-02-11 14:33:43.226850,59.44493999999999
2020-02-27 14:33:39.059312,59.05415999999999
2020-03-14 14:33:32.328651,58.61885999999999
2020-04-15 14:33:16.329501,60.215519999999984
2020-05-01 14:33:08.149487,59.320859999999975
2020-05-17 14:33:06.212695,58.15631999999998
2020-07-20 14:33:34.557772,58.93553999999998
2020-08-05 14:33:38.287748,58.35449999999999
2020-08-21 14:33:44.795464,57.701399999999985
